manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 095,,95,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 096,,96,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 097,,97,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 098,,98,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 099,,99,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 100,,100,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 101,,101,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 102,,102,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 103,,103,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 104,,104,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 105,,105,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 106,,106,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 107,,107,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 108,,108,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 109,,109,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 110,,110,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 111,,111,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 112,,112,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 113,,113,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 114,,114,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 115,,115,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 116,,116,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 117,,117,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 118,,118,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 119,,119,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 120,,120,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 121,,121,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 122,,122,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 123,,123,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 124,,124,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 125,,125,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 126,,126,,0,127,,,,,,,0-based,,
1010music,nanobox | razzmatazz,MIDI learn,MIDI CC 127,,127,,0,127,,,,,,,0-based,,
