manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Waldorf,Blofeld,,Filter 2 envelope velocity,Filter,85,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 2 cutoff modulation,Filter,86,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 2 FM,Filter,87,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter 2 pan,Filter,88,,0,127,,,,,Centered,
Waldorf,Blofeld,,Filter 2 pan modulation,Filter,89,,0,127,,,,,Centered,
Waldorf,Blofeld,,Amp volume,Amp,90,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp velocity,Amp,91,,0,127,,,,,Centered,
Waldorf,Blofeld,,Amp modulation,Amp,92,,0,127,,,,,Centered,
Waldorf,Blofeld,,FX 1 mix,FX,93,,0,127,,,,,0-based,
Waldorf,Blofeld,,FX 2 mix,FX,94,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter envelope attack,Envelopes,95,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter envelope decay,Envelopes,96,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter envelope sustain,Envelopes,97,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter envelope decay 2,Envelopes,98,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter envelope sustain 2,Envelopes,99,,0,127,,,,,0-based,
Waldorf,Blofeld,,Filter envelope release,Envelopes,100,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp envelope attack,Envelopes,101,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp envelope decay,Envelopes,102,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp envelope sustain,Envelopes,103,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp envelope decay 2,Envelopes,104,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp envelope sustain 2,Envelopes,105,,0,127,,,,,0-based,
Waldorf,Blofeld,,Amp envelope release,Envelopes,106,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 3 attack,Envelopes,107,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 3 decay,Envelopes,108,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 3 sustain,Envelopes,109,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 3 decay 2,Envelopes,110,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 3 sustain 2,Envelopes,111,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 3 release,Envelopes,112,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 4 attack,Envelopes,113,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 4 decay,Envelopes,114,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 4 sustain,Envelopes,115,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 4 decay 2,Envelopes,116,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 4 sustain 2,Envelopes,117,,0,127,,,,,0-based,
Waldorf,Blofeld,,Envelope 4 release,Envelopes,118,,0,127,,,,,0-based,
Waldorf,Blofeld,,All sound off,General,120,,0,127,,,,,0-based,
Waldorf,Blofeld,,Reset all controllers,General,121,,0,127,,,,,0-based,
Waldorf,Blofeld,,Local control on/off,General,122,,0,127,,,,,0-based,
Waldorf,Blofeld,,All notes off,General,123,,0,127,,,,,0-based,
